unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,Q12023,2025-10-21
Public administration,5,8160,53.1,2.0,2.2,1,1950,60.0,2.8,2.9,4,6210,50.9,1.8,2.0,jurisdiction_industry,Q12023,2025-10-21
All industries,51,308518,42.4,2.6,3.0,15,189076,46.2,2.5,3.2,36,119442,36.3,2.7,2.8,jurisdiction_industry,Q22023,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,Q22023,2025-10-21
Utilities,3,7554,27.1,4.3,3.7,,,,,,3,7554,27.1,4.3,3.7,jurisdiction_industry,Q22023,2025-10-21
Construction,4,9202,24.0,8.4,7.3,,,,,,4,9202,24.0,8.4,7.3,jurisdiction_industry,Q22023,2025-10-21
Manufacturing,2,1800,42.9,4.1,3.7,,,,,,2,1800,42.9,4.1,3.7,jurisdiction_industry,Q22023,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,Q22023,2025-10-21
Transportation,10,19783,28.7,6.6,4.1,8,16143,29.3,7.3,4.3,2,3640,26.1,3.8,3.2,jurisdiction_industry,Q22023,2025-10-21
Information and culture,1,2160,48.1,3.2,3.2,1,2160,48.1,3.2,3.2,,,,,,jurisdiction_industry,Q22023,2025-10-21
Finance and professional services,3,2984,47.8,7.5,4.4,2,1430,24.0,11.1,6.9,1,1554,69.8,4.2,2.0,jurisdiction_industry,Q22023,2025-10-21
"Education, health, and social services",20,81194,37.4,1.7,2.2,,,,,,20,81194,37.4,1.7,2.2,jurisdiction_industry,Q22023,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,Q22023,2025-10-21
Public administration,8,183841,47.4,2.0,3.0,4,169343,48.0,2.0,3.0,4,14498,40.8,2.8,2.6,jurisdiction_industry,Q22023,2025-10-21
All industries,46,169307,37.5,5.4,4.3,12,36336,46.5,3.0,3.7,34,132971,35.0,6.0,4.4,jurisdiction_industry,Q32023,2025-10-21
