unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
2017,4,18570,53.7,1.0,1.0,1,500,48.0,0.0,1.2,3,18070,53.9,1.0,1.0,sector_year,New Brunswick,2025-10-21
2018,1,550,48.0,2.5,2.5,1,550,48.0,2.5,2.5,,,,,,sector_year,New Brunswick,2025-10-21
2019,4,3050,36.0,1.9,2.1,4,3050,36.0,1.9,2.1,,,,,,sector_year,New Brunswick,2025-10-21
2020,,,,,,,,,,,,,,,,sector_year,New Brunswick,2025-10-21
2021,5,7763,66.5,1.8,2.1,1,500,60.0,1.8,3.5,4,7263,66.9,1.8,2.0,sector_year,New Brunswick,2025-10-21
2022,3,9470,58.9,1.7,2.2,,,,,,3,9470,58.9,1.7,2.2,sector_year,New Brunswick,2025-10-21
2023,1,8000,60.0,2.0,3.0,,,,,,1,8000,60.0,2.0,3.0,sector_year,New Brunswick,2025-10-21
2024,1,730,44.0,2.0,1.7,,,,,,1,730,44.0,2.0,1.7,sector_year,New Brunswick,2025-10-21
2025,,,,,,,,,,,,,,,,sector_year,New Brunswick,2025-10-21
2016,55,473162,60.4,0.1,1.1,11,10297,62.4,2.2,2.1,44,462865,60.3,0.1,1.1,sector_year,Quebec,2025-10-21
2017,21,100687,54.9,3.4,2.1,7,77903,51.1,4.0,2.2,14,22784,68.0,1.6,1.7,sector_year,Quebec,2025-10-21
2018,35,156818,53.9,1.8,1.7,12,101573,52.6,2.2,1.7,23,55245,56.2,1.1,1.7,sector_year,Quebec,2025-10-21
2019,24,35676,68.2,2.2,2.0,8,6545,69.2,2.0,2.4,16,29131,67.9,2.2,1.9,sector_year,Quebec,2025-10-21
2020,16,19929,64.6,3.5,2.3,6,5962,38.8,7.2,3.2,10,13967,75.6,1.9,1.9,sector_year,Quebec,2025-10-21
2021,56,678706,40.5,2.0,2.0,14,154909,48.5,2.1,2.1,42,523797,38.1,2.0,2.0,sector_year,Quebec,2025-10-21
2022,18,67394,50.3,2.4,2.4,6,20932,55.0,3.1,2.7,12,46462,48.1,2.1,2.2,sector_year,Quebec,2025-10-21
2023,10,16762,50.6,4.6,2.8,2,2069,67.3,4.8,2.5,8,14693,48.3,4.5,2.9,sector_year,Quebec,2025-10-21
2024,34,588013,60.1,5.9,3.6,4,9556,65.8,2.8,4.1,30,578457,60.1,6.0,3.6,sector_year,Quebec,2025-10-21
2025,11,161191,49.6,7.6,4.4,5,145818,48.1,8.0,4.5,6,15373,63.9,4.2,3.1,sector_year,Quebec,2025-10-21
2016,105,360580,36.2,1.6,1.6,66,161770,41.6,1.8,1.6,39,198810,31.8,1.5,1.6,sector_year,Ontario,2025-10-21
