unnamed:_0_level_0,total,total.1,total.2,total.3,total.4,without_cola,without_cola.1,without_cola.2,without_cola.3,without_cola.4,with_cola,with_cola.1,with_cola.2,with_cola.3,with_cola.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
"Education, health, and social services",98,697660,49.7,0.5,1.2,98,697660,49.7,0.5,1.2,,,,,,cola_industry,2016,2025-10-21
Entertainment and hospitality,5,4010,45.9,1.7,1.7,5,4010,45.9,1.7,1.7,,,,,,cola_industry,2016,2025-10-21
Public administration,51,186540,52.8,1.3,1.5,51,186540,52.8,1.3,1.5,,,,,,cola_industry,2016,2025-10-21
All industries,224,868612,39.8,1.7,1.7,222,865969,39.7,1.7,1.7,2,2643,47.3,1.6,1.8,cola_industry,2017,2025-10-21
Primary industries,10,13602,36.8,0.7,0.9,9,11909,35.2,0.5,0.6,1,1693,48.0,2.4,2.6,cola_industry,2017,2025-10-21
Utilities,3,2920,29.4,1.6,1.7,3,2920,29.4,1.6,1.7,,,,,,cola_industry,2017,2025-10-21
Construction,16,97270,44.5,3.4,2.0,16,97270,44.5,3.4,2.0,,,,,,cola_industry,2017,2025-10-21
Manufacturing,10,10440,48.3,1.5,1.4,9,9490,48.6,1.6,1.5,1,950,46.0,0.0,0.3,cola_industry,2017,2025-10-21
Wholesale and retail trade,7,14550,47.5,1.7,1.9,7,14550,47.5,1.7,1.9,,,,,,cola_industry,2017,2025-10-21
Transportation,19,28362,46.8,1.8,2.1,19,28362,46.8,1.8,2.1,,,,,,cola_industry,2017,2025-10-21
Information and culture,6,8936,47.3,1.6,1.8,6,8936,47.3,1.6,1.8,,,,,,cola_industry,2017,2025-10-21
Finance and professional services,11,20770,53.3,2.0,2.2,11,20770,53.3,2.0,2.2,,,,,,cola_industry,2017,2025-10-21
"Education, health, and social services",80,398216,30.5,1.5,1.7,80,398216,30.5,1.5,1.7,,,,,,cola_industry,2017,2025-10-21
Entertainment and hospitality,5,6350,46.7,2.0,1.9,5,6350,46.7,2.0,1.9,,,,,,cola_industry,2017,2025-10-21
Public administration,57,267196,49.1,1.4,1.6,57,267196,49.1,1.4,1.6,,,,,,cola_industry,2017,2025-10-21
All industries,226,761192,42.7,1.4,1.4,224,758399,42.6,1.3,1.4,2,2793,60.0,10.9,4.1,cola_industry,2018,2025-10-21
Primary industries,2,2213,50.9,8.7,2.7,1,720,32.0,-1.4,-0.5,1,1493,60.0,13.7,4.3,cola_industry,2018,2025-10-21
Utilities,11,29176,44.9,1.3,2.0,11,29176,44.9,1.3,2.0,,,,,,cola_industry,2018,2025-10-21
Construction,16,93740,46.9,2.1,1.5,16,93740,46.9,2.1,1.5,,,,,,cola_industry,2018,2025-10-21
Manufacturing,13,13488,51.9,2.2,1.9,12,12188,51.0,1.7,1.7,1,1300,60.0,7.6,3.9,cola_industry,2018,2025-10-21
Wholesale and retail trade,10,20373,52.8,0.9,1.4,10,20373,52.8,0.9,1.4,,,,,,cola_industry,2018,2025-10-21
Transportation,16,28882,44.0,2.0,2.2,16,28882,44.0,2.0,2.2,,,,,,cola_industry,2018,2025-10-21
Information and culture,8,25890,45.5,2.6,2.4,8,25890,45.5,2.6,2.4,,,,,,cola_industry,2018,2025-10-21
Finance and professional services,17,44852,47.9,2.7,2.1,17,44852,47.9,2.7,2.1,,,,,,cola_industry,2018,2025-10-21
"Education, health, and social services",77,330519,39.0,0.8,1.0,77,330519,39.0,0.8,1.0,,,,,,cola_industry,2018,2025-10-21
Entertainment and hospitality,9,7940,45.6,2.5,2.4,9,7940,45.6,2.5,2.4,,,,,,cola_industry,2018,2025-10-21
Public administration,47,164119,42.7,1.1,1.2,47,164119,42.7,1.1,1.2,,,,,,cola_industry,2018,2025-10-21
All industries,269,684720,43.1,1.8,1.8,268,684220,43.1,1.8,1.8,1,500,36.0,2.4,3.2,cola_industry,2019,2025-10-21
Primary industries,4,5630,55.7,2.3,2.4,4,5630,55.7,2.3,2.4,,,,,,cola_industry,2019,2025-10-21
Utilities,12,19730,36.0,1.8,2.1,12,19730,36.0,1.8,2.1,,,,,,cola_industry,2019,2025-10-21
Construction,44,109945,36.6,2.0,2.1,44,109945,36.6,2.0,2.1,,,,,,cola_industry,2019,2025-10-21
Manufacturing,16,17760,61.1,2.0,2.2,15,17260,61.8,1.9,2.1,1,500,36.0,2.4,3.2,cola_industry,2019,2025-10-21
Wholesale and retail trade,11,25528,58.1,1.2,1.7,11,25528,58.1,1.2,1.7,,,,,,cola_industry,2019,2025-10-21
Transportation,20,41980,54.4,2.2,2.4,20,41980,54.4,2.2,2.4,,,,,,cola_industry,2019,2025-10-21
Information and culture,6,10782,53.8,1.2,1.3,6,10782,53.8,1.2,1.3,,,,,,cola_industry,2019,2025-10-21
Finance and professional services,6,5820,47.1,2.1,1.8,6,5820,47.1,2.1,1.8,,,,,,cola_industry,2019,2025-10-21
"Education, health, and social services",90,294965,38.3,1.3,1.6,90,294965,38.3,1.3,1.6,,,,,,cola_industry,2019,2025-10-21
Entertainment and hospitality,2,1800,36.0,7.1,5.0,2,1800,36.0,7.1,5.0,,,,,,cola_industry,2019,2025-10-21
Public administration,58,150780,48.8,2.4,1.9,58,150780,48.8,2.4,1.9,,,,,,cola_industry,2019,2025-10-21
All industries,182,809923,41.4,1.8,1.9,174,723153,40.9,1.8,1.9,8,86770,45.6,2.2,2.2,cola_industry,2020,2025-10-21
Primary industries,1,650,64.8,2.5,2.2,1,650,64.8,2.5,2.2,,,,,,cola_industry,2020,2025-10-21
Utilities,5,12606,44.3,1.5,1.9,5,12606,44.3,1.5,1.9,,,,,,cola_industry,2020,2025-10-21
Construction,10,20042,44.5,0.8,1.0,10,20042,44.5,0.8,1.0,,,,,,cola_industry,2020,2025-10-21
Manufacturing,14,39945,40.3,3.2,2.1,8,12175,50.3,4.8,2.7,6,27770,35.9,2.5,1.8,cola_industry,2020,2025-10-21
Wholesale and retail trade,9,13811,75.5,0.9,1.0,9,13811,75.5,0.9,1.0,,,,,,cola_industry,2020,2025-10-21
Transportation,22,98811,51.5,2.1,2.3,20,39811,53.3,2.1,2.2,2,59000,50.2,2.0,2.4,cola_industry,2020,2025-10-21
